Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Total Revenue
12559,311,2,561.71,2,1,2,212,Needs Attention,561.71
12560,6,3,2134.01,4,2,3,423,Champions,2134.01
12561,303,1,238.85,2,1,1,211,Lost,238.85
12562,9,9,4966.92,4,3,4,434,Champions,4966.92
12563,409,1,249.24,1,1,1,111,Lost,249.24
12564,262,1,456.9,2,1,2,212,Needs Attention,456.9
12565,289,1,145.92,2,1,1,211,Lost,145.92
12566,87,1,351.65,3,1,2,312,Needs Attention,351.65
12567,23,15,13709.86,4,3,4,434,Champions,13709.86
12568,645,1,70.0,1,1,1,111,Lost,70.0
12569,3,32,4124.69,4,3,4,434,Champions,4124.69
12570,683,1,77.52,1,1,1,111,Lost,77.52
12571,40,2,519.61,3,1,2,312,Needs Attention,519.61
12572,9,2,1020.42,4,1,3,413,Loyal,1020.42
12573,228,5,717.41,2,2,2,222,At Risk,717.41
12574,316,1,218.45,2,1,1,211,Lost,218.45
12575,458,2,622.82,1,1,2,112,Needs Attention,622.82
12576,36,8,2142.72,3,3,3,333,Loyal,2142.72
12577,36,8,1653.75,3,3,3,333,Loyal,1653.75
12578,22,4,4642.45,4,2,4,424,Champions,4642.45
12579,79,1,440.42,3,1,2,312,Needs Attention,440.42
12580,247,2,1052.9,2,1,3,213,Needs Attention,1052.9
12581,40,1,197.71,3,1,1,311,Needs Attention,197.71
12582,239,4,1980.4,2,2,3,223,At Risk,1980.4
12583,3,27,14447.44,4,3,4,434,Champions,14447.44
12584,4,9,2338.15,4,3,4,434,Champions,2338.15
12585,235,2,2040.1,2,1,3,213,Needs Attention,2040.1
12586,18,4,2062.67,4,2,3,423,Champions,2062.67
12587,8,1,144.0,4,1,1,411,Needs Attention,144.0
12588,40,4,958.78,3,2,3,323,Loyal,958.78
12589,29,8,4695.66,3,3,4,334,Loyal,4695.66
12590,212,2,9864.26,2,1,4,214,Needs Attention,9864.26
12591,318,3,1352.15,2,2,3,223,At Risk,1352.15
12592,93,5,2582.66,3,2,4,324,Loyal,2582.66
12593,109,3,418.1,2,2,2,222,At Risk,418.1
12594,38,15,5090.11,3,3,4,334,Loyal,5090.11
12595,505,1,299.02,1,1,1,111,Lost,299.02
12596,52,2,618.27,3,1,2,312,Needs Attention,618.27
12597,20,4,3811.22,4,2,4,424,Champions,3811.22
12598,10,11,4534.09,4,3,4,434,Champions,4534.09
12599,30,13,2296.72,3,3,3,333,Loyal,2296.72
12600,29,21,5043.92,3,3,4,334,Loyal,5043.92
12601,190,6,681.26,2,3,2,232,At Risk,681.26
12602,59,1,153.12,3,1,1,311,Needs Attention,153.12
12603,22,1,739.2,4,1,2,412,Needs Attention,739.2
12604,80,2,254.18,3,1,1,311,Needs Attention,254.18
12605,377,4,1232.95,2,2,3,223,At Risk,1232.95
12606,683,1,21.0,1,1,1,111,Lost,21.0
12607,61,1,1579.51,3,1,3,313,Loyal,1579.51
12608,405,1,415.79,1,1,2,112,Needs Attention,415.79
12609,79,9,3435.86,3,3,4,334,Loyal,3435.86
12610,23,5,2099.54,4,2,3,423,Champions,2099.54
12611,53,1,1193.32,3,1,3,313,Loyal,1193.32
12612,75,1,704.04,3,1,2,312,Needs Attention,704.04
12613,58,10,6835.07,3,3,4,334,Loyal,6835.07
12614,278,1,315.6,2,1,1,211,Lost,315.6
12615,3,8,5740.98,4,3,4,434,Champions,5740.98
12616,96,3,1131.1,3,2,3,323,Loyal,1131.1
12617,30,1,355.53,3,1,2,312,Needs Attention,355.53
12618,22,1,177.31,4,1,1,411,Needs Attention,177.31
12619,17,10,3781.38,4,3,4,434,Champions,3781.38
12620,15,3,1339.41,4,2,3,423,Champions,1339.41
12621,2,35,24775.81,4,3,4,434,Champions,24775.81
12622,233,1,180.1,2,1,1,211,Lost,180.1
12623,277,7,3747.84,2,3,4,234,At Risk,3747.84
12624,107,2,641.13,2,1,2,212,Needs Attention,641.13
12625,212,4,5164.88,2,2,4,224,At Risk,5164.88
12626,24,9,6620.48,4,3,4,434,Champions,6620.48
12627,11,7,4478.53,4,3,4,434,Champions,4478.53
12628,5,3,786.46,4,2,2,422,Needs Attention,786.46
12629,386,2,1558.22,1,1,3,113,Needs Attention,1558.22
12630,10,2,1270.88,4,1,3,413,Loyal,1270.88
12631,58,6,3481.57,3,3,4,334,Loyal,3481.57
12632,521,2,804.88,1,1,2,112,Needs Attention,804.88
12633,59,7,5678.16,3,3,4,334,Loyal,5678.16
12634,536,2,490.0,1,1,2,112,Needs Attention,490.0
12635,90,4,2930.41,3,2,4,324,Loyal,2930.41
12636,739,1,141.0,1,1,1,111,Lost,141.0
12637,68,12,8340.31,3,3,4,334,Loyal,8340.31
12638,34,2,921.49,3,1,3,313,Loyal,921.49
12639,239,3,1312.37,2,2,3,223,At Risk,1312.37
12640,24,3,1174.58,4,2,3,423,Champions,1174.58
12641,116,1,185.9,2,1,1,211,Lost,185.9
12642,26,3,1013.26,4,2,3,423,Champions,1013.26
12643,129,12,8350.42,2,3,4,234,At Risk,8350.42
12644,130,4,1918.49,2,2,3,223,At Risk,1918.49
12645,34,8,3539.3,3,3,4,334,Loyal,3539.3
12646,5,2,1346.97,4,1,3,413,Loyal,1346.97
12647,23,36,17924.35,4,3,4,434,Champions,17924.35
12648,155,4,1112.0,2,2,3,223,At Risk,1112.0
12649,108,8,2294.65,2,3,3,233,At Risk,2294.65
12650,4,1,314.44,4,1,1,411,Needs Attention,314.44
12651,335,4,377.75,2,2,2,222,At Risk,377.75
12652,332,2,1017.03,2,1,3,213,Needs Attention,1017.03
12653,149,3,4160.83,2,2,4,224,At Risk,4160.83
12654,11,5,601.98,4,2,2,422,Needs Attention,601.98
12655,424,1,261.35,1,1,1,111,Lost,261.35
12656,18,8,6407.83,4,3,4,434,Champions,6407.83
12657,12,4,1643.18,4,2,3,423,Champions,1643.18
12658,19,1,686.05,4,1,2,412,Needs Attention,686.05
12659,30,1,91.68,3,1,1,311,Needs Attention,91.68
12660,12,1,245.1,4,1,1,411,Needs Attention,245.1
12661,437,1,162.0,1,1,1,111,Lost,162.0
12662,1,20,6988.02,4,3,4,434,Champions,6988.02
12663,625,2,239.4,1,1,1,111,Lost,239.4
12664,9,11,6070.04,4,3,4,434,Champions,6070.04
12665,325,3,313.6,2,2,1,221,Needs Attention,313.6
12666,395,1,1248.42,1,1,3,113,Needs Attention,1248.42
12667,59,1,620.13,3,1,2,312,Needs Attention,620.13
12668,12,10,11444.68,4,3,4,434,Champions,11444.68
12669,151,3,2744.03,2,2,4,224,At Risk,2744.03
12670,11,7,3760.29,4,3,4,434,Champions,3760.29
12671,607,1,2622.48,1,1,4,114,Needs Attention,2622.48
12672,330,2,437.05,2,1,2,212,Needs Attention,437.05
12673,6,3,1230.02,4,2,3,423,Champions,1230.02
12674,39,4,1970.6,3,2,3,323,Loyal,1970.6
12675,554,2,958.5,1,1,3,113,Needs Attention,958.5
12676,25,11,2843.09,4,3,4,434,Champions,2843.09
12677,556,2,395.1,1,1,2,112,Needs Attention,395.1
12678,43,21,34281.18,3,3,4,334,Loyal,34281.18
12679,59,4,1113.02,3,2,3,323,Loyal,1113.02
12680,1,4,880.81,4,2,2,422,Needs Attention,880.81
12681,15,45,30868.28,4,3,4,434,Champions,30868.28
12682,4,52,24033.91,4,3,4,434,Champions,24033.91
12683,5,21,12696.78,4,3,4,434,Champions,12696.78
12684,8,7,2283.63,4,3,3,433,Champions,2283.63
12685,29,6,2863.08,3,3,4,334,Loyal,2863.08
12686,372,1,178.28,2,1,1,211,Lost,178.28
12687,481,2,2138.91,1,1,3,113,Needs Attention,2138.91
12688,114,1,4873.81,2,1,4,214,Needs Attention,4873.81
12689,26,2,1247.61,4,1,3,413,Loyal,1247.61
12690,206,1,389.01,2,1,2,212,Needs Attention,389.01
12691,29,7,1170.4,3,3,3,333,Loyal,1170.4
12692,638,1,110.95,1,1,1,111,Lost,110.95
12693,128,7,1703.02,2,3,3,233,At Risk,1703.02
12694,71,3,1843.35,3,2,3,323,Loyal,1843.35
12695,8,7,1407.12,4,3,3,433,Champions,1407.12
12696,435,2,851.91,1,1,2,112,Needs Attention,851.91
12697,29,3,957.59,3,2,3,323,Loyal,957.59
12698,591,1,339.75,1,1,1,111,Lost,339.75
12699,418,1,638.11,1,1,2,112,Needs Attention,638.11
12700,8,4,4939.99,4,2,4,424,Champions,4939.99
12701,80,6,2446.41,3,3,4,334,Loyal,2446.41
12702,20,1,219.0,4,1,1,411,Needs Attention,219.0
12703,72,4,1006.53,3,2,3,323,Loyal,1006.53
12704,8,8,2340.84,4,3,4,434,Champions,2340.84
12705,16,14,11762.1,4,3,4,434,Champions,11762.1
12707,292,1,603.42,2,1,2,212,Needs Attention,603.42
12708,30,18,5314.1,3,3,4,334,Loyal,5314.1
12709,16,34,31093.34,4,3,4,434,Champions,31093.34
12710,97,3,1149.02,2,2,3,223,At Risk,1149.02
12711,612,2,1339.05,1,1,3,113,Needs Attention,1339.05
12712,29,21,7193.66,3,3,4,334,Loyal,7193.66
12713,1,1,848.55,4,1,2,412,Needs Attention,848.55
12714,10,12,14093.71,4,3,4,434,Champions,14093.71
12715,107,1,353.86,2,1,2,212,Needs Attention,353.86
12716,4,2,1053.49,4,1,3,413,Loyal,1053.49
12717,152,3,1308.91,2,2,3,223,At Risk,1308.91
12718,72,1,238.25,3,1,1,311,Needs Attention,238.25
12719,6,2,644.95,4,1,2,412,Needs Attention,644.95
12720,3,30,8260.67,4,3,4,434,Champions,8260.67
12721,32,8,4013.08,3,3,4,334,Loyal,4013.08
12722,86,4,997.63,3,2,3,323,Loyal,997.63
12723,4,5,725.07,4,2,2,422,Needs Attention,725.07
12724,6,7,2317.52,4,3,4,434,Champions,2317.52
12725,372,4,2694.56,2,2,4,224,At Risk,2694.56
12726,29,11,4014.6,3,3,4,334,Loyal,4014.6
12727,11,10,5679.53,4,3,4,434,Champions,5679.53
12728,72,5,1070.17,3,2,3,323,Loyal,1070.17
12729,114,1,453.01,2,1,2,212,Needs Attention,453.01
12730,522,1,829.25,1,1,2,112,Needs Attention,829.25
12731,24,17,25775.71,4,3,4,434,Champions,25775.71
12732,180,1,236.26,2,1,1,211,Lost,236.26
12733,235,4,2424.87,2,2,4,224,At Risk,2424.87
12734,353,3,639.65,2,2,2,222,At Risk,639.65
12735,316,2,779.57,2,1,2,212,Needs Attention,779.57
12736,333,1,234.0,2,1,1,211,Lost,234.0
12737,499,2,3710.5,1,1,4,114,Needs Attention,3710.5
12738,373,1,310.7,2,1,1,211,Lost,310.7
12739,79,4,2726.73,3,2,4,324,Loyal,2726.73
12740,64,1,427.6,3,1,2,312,Needs Attention,427.6
12741,530,2,406.07,1,1,2,112,Needs Attention,406.07
12742,626,1,1201.52,1,1,3,113,Needs Attention,1201.52
12743,135,2,546.43,2,1,2,212,Needs Attention,546.43
12744,52,11,25317.06,3,3,4,334,Loyal,25317.06
12745,487,3,925.41,1,2,3,123,At Risk,925.41
12746,541,1,254.55,1,1,1,111,Lost,254.55
12747,3,26,9276.54,4,3,4,434,Champions,9276.54
12748,1,336,56599.39,4,3,4,434,Champions,56599.39
12749,4,9,6897.36,4,3,4,434,Champions,6897.36
12750,129,1,275.88,2,1,1,211,Lost,275.88
12751,445,1,268.27,1,1,1,111,Lost,268.27
12752,82,1,4366.78,3,1,4,314,Loyal,4366.78
12753,23,6,21429.39,4,3,4,434,Champions,21429.39
12754,236,3,3010.74,2,2,4,224,At Risk,3010.74
12755,281,11,9030.66,2,3,4,234,At Risk,9030.66
12756,87,1,112.08,3,1,1,311,Needs Attention,112.08
12757,16,13,7857.1,4,3,4,434,Champions,7857.1
12758,117,7,9903.24,2,3,4,234,At Risk,9903.24
12759,53,8,5020.74,3,3,4,334,Loyal,5020.74
12760,456,1,347.8,1,1,1,111,Lost,347.8
12761,458,2,782.95,1,1,2,112,Needs Attention,782.95
12762,8,2,1898.52,4,1,3,413,Loyal,1898.52
12763,139,2,814.16,2,1,2,212,Needs Attention,814.16
12764,317,1,1693.88,2,1,3,213,Needs Attention,1693.88
12765,473,6,1404.58,1,3,3,133,At Risk,1404.58
12766,4,9,10068.28,4,3,4,434,Champions,10068.28
12767,376,1,949.82,2,1,3,213,Needs Attention,949.82
12768,451,1,168.69,1,1,1,111,Lost,168.69
12769,239,1,1143.6,2,1,3,213,Needs Attention,1143.6
12770,211,2,3246.45,2,1,4,214,Needs Attention,3246.45
12771,486,1,282.3,1,1,1,111,Lost,282.3
12772,60,1,892.47,3,1,2,312,Needs Attention,892.47
12773,565,1,124.25,1,1,1,111,Lost,124.25
12774,536,1,98.7,1,1,1,111,Lost,98.7
12775,18,7,1686.12,4,3,3,433,Champions,1686.12
12776,668,1,55.5,1,1,1,111,Lost,55.5
12777,458,1,519.45,1,1,2,112,Needs Attention,519.45
12778,20,9,1775.68,4,3,3,433,Champions,1775.68
12779,38,14,6722.27,3,3,4,334,Loyal,6722.27
12780,599,1,337.4,1,1,1,111,Lost,337.4
12781,64,2,826.74,3,1,2,312,Needs Attention,826.74
12782,5,11,4618.24,4,3,4,434,Champions,4618.24
12783,3,6,2225.91,4,3,3,433,Champions,2225.91
12784,10,3,1804.75,4,2,3,423,Champions,1804.75
12785,365,3,1100.4,2,2,3,223,At Risk,1100.4
12786,610,1,728.5,1,1,2,112,Needs Attention,728.5
12787,10,4,862.18,4,2,2,422,Needs Attention,862.18
12788,464,4,444.9,1,2,2,122,At Risk,444.9
12789,66,3,273.35,3,2,1,321,Needs Attention,273.35
12790,193,2,591.85,2,1,2,212,Needs Attention,591.85
12791,374,6,1056.11,2,3,3,233,At Risk,1056.11
12792,257,2,827.01,2,1,2,212,Needs Attention,827.01
12793,335,3,1017.33,2,2,3,223,At Risk,1017.33
12794,54,2,860.41,3,1,2,312,Needs Attention,860.41
12795,19,1,430.48,4,1,2,412,Needs Attention,430.48
12796,629,1,381.0,1,1,2,112,Needs Attention,381.0
12797,366,2,806.11,2,1,2,212,Needs Attention,806.11
12798,11,4,8510.93,4,2,4,424,Champions,8510.93
12799,530,1,219.35,1,1,1,111,Lost,219.35
12800,471,3,584.25,1,2,2,122,At Risk,584.25
12801,501,1,1071.82,1,1,3,113,Needs Attention,1071.82
12802,187,7,2416.42,2,3,4,234,At Risk,2416.42
12803,394,1,1092.81,1,1,3,113,Needs Attention,1092.81
12804,466,2,327.02,1,1,1,111,Lost,327.02
12805,382,4,1434.95,1,2,3,123,At Risk,1434.95
12806,436,4,2878.96,1,2,4,124,At Risk,2878.96
12807,384,1,330.35,1,1,1,111,Lost,330.35
12808,37,5,906.1,3,2,3,323,Loyal,906.1
12809,178,3,1755.94,2,2,3,223,At Risk,1755.94
12810,535,2,534.99,1,1,2,112,Needs Attention,534.99
12811,261,5,1033.9,2,2,3,223,At Risk,1033.9
12812,45,1,229.64,3,1,1,311,Needs Attention,229.64
12813,502,3,1687.8,1,2,3,123,At Risk,1687.8
12814,102,1,125.92,2,1,1,211,Lost,125.92
12815,148,2,1063.46,2,1,3,213,Needs Attention,1063.46
12816,96,2,572.2,3,1,2,312,Needs Attention,572.2
12817,282,3,690.98,2,2,2,222,At Risk,690.98
12818,262,1,1542.08,2,1,3,213,Needs Attention,1542.08
